ticker,week_start,snapshot_type,snapshot_date,option_type,strike_offset,strike,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho
MU,2026-08-17,end,2026-08-20,put,1,980.0,17.12,17.1,19.5,522.0,5024.0,0.7497583618164063,-0.5499951890591219,0.010351441637030181,-7.510940974354108,0.2018559039575121,-0.015181372382040656
MU,2026-08-17,end,2026-08-20,call,2,985.0,10.22,9.9,11.0,4578.0,1022.0,0.7426783544921874,0.39815222861420674,0.01018780402007765,-7.3458361533600804,0.19678892302693654,0.010340933923507222
MU,2026-08-17,end,2026-08-20,put,2,985.0,19.94,20.05,22.25,139.0,136.0,0.7442652526855469,-0.6016033584453498,0.010167742063187492,-7.262747103053281,0.19682105917492354,-0.016636961059676752
MSTR,2026-08-17,end,2026-08-20,call,-2,110.0,3.75,3.6,3.75,27855.0,15265.0,0.983398603515625,0.6719462898730022,0.06245135323171281,-1.052329582658842,0.021253669056431477,0.0019681770210774057
MSTR,2026-08-17,end,2026-08-20,put,-2,110.0,1.32,1.29,1.34,13909.0,5357.0,0.99804689453125,-0.33014262140330874,0.06169215868871672,-1.0594234599385828,0.02130803433657526,-0.0010525020657015493
MSTR,2026-08-17,end,2026-08-20,call,-1,111.0,3.2,2.99,3.2,6928.0,876.0,1.0009815576171874,0.6047482556633018,0.06540002246712262,-1.1404488788203957,0.022655124165846564,0.0017771551026413276
MSTR,2026-08-17,end,2026-08-20,put,-1,111.0,1.75,1.68,1.85,4022.0,9.0,1.0273486132812502,-0.39735431105977526,0.0638129931087859,-1.160696788864554,0.022687645506510715,-0.0012717442176203694
MSTR,2026-08-17,end,2026-08-20,call,0,112.0,2.58,2.53,2.89,9773.0,1067.0,1.0712937060546879,0.5365863468864508,0.06303602751114559,-1.2576528155400666,0.023370061918617256,0.0015778567733631208
MSTR,2026-08-17,end,2026-08-20,put,0,112.0,2.22,2.1,2.3,2727.0,18.0,1.0205127099609377,-0.46268047874691365,0.06616138934970793,-1.1867698413565522,0.023366061090577563,-0.0014848163997861871
MSTR,2026-08-17,end,2026-08-20,call,1,113.0,2.16,2.09,2.2,12584.0,1528.0,1.0361376318359379,0.47177123335947746,0.06528634295172056,-1.217962546387463,0.023410045758440724,0.0013937558622665088
MSTR,2026-08-17,end,2026-08-20,put,1,113.0,2.79,2.67,2.87,1167.0,18.0,1.0424852563476565,-0.5279253484954223,0.06489230358629562,-1.2139970222463565,0.023411303013290384,-0.0017012933309693045
MSTR,2026-08-17,end,2026-08-20,call,2,114.0,1.75,1.68,1.83,7298.0,1388.0,1.0478563232421876,0.4090243347530602,0.0630281355875657,-1.201971263376918,0.02285591816154867,0.0012112733265730916
MSTR,2026-08-17,end,2026-08-20,put,2,114.0,3.35,3.3,3.55,527.0,1.0,1.0742233789062503,-0.5882499627678743,0.06157881179043444,-1.2225151623456987,0.0228922446087222,-0.0019049569792527715
MSFT,2026-08-17,end,2026-08-20,call,-2,475.0,6.92,7.0,7.65,396.0,3302.0,0.38184211914062494,0.7449607729141474,0.033394170232205755,-1.5796880961208255,0.08087654554879378,0.009609646420703902
MSFT,2026-08-17,end,2026-08-20,put,-2,475.0,0.95,0.8,0.92,7145.0,5441.0,0.30664755859375,-0.20730040413937179,0.037034806169524565,-1.0941906776910595,0.07203070942850735,-0.0027575971586370996
MSFT,2026-08-17,end,2026-08-20,call,-1,477.5,5.27,4.95,5.55,130.0,343.0,0.3415593188476562,0.6702305220496341,0.04208865457655908,-1.5893180272031833,0.09117993677324593,0.008682196552770464
MSFT,2026-08-17,end,2026-08-20,put,-1,477.5,1.45,1.36,1.5,4247.0,1677.0,0.2973703076171874,-0.3072957193085325,0.04692694544141378,-1.3008481972905814,0.08850911393038428,-0.004091527200681849
MSFT,2026-08-17,end,2026-08-20,call,0,480.0,3.52,3.35,3.75,3208.0,24161.0,0.3129951513671875,0.5637359401925974,0.04996297094851753,-1.5793845802099182,0.0991868206679671,0.007327810970516202
MSFT,2026-08-17,end,2026-08-20,put,0,480.0,2.15,2.15,2.4,13836.0,8442.0,0.2929758203124999,-0.4323760980012622,0.05328984290565764,-1.429247522233245,0.09902487974855408,-0.0057648521548274885
MSFT,2026-08-17,end,2026-08-20,call,1,482.5,2.34,2.28,2.49,9429.0,727.0,0.3099434240722656,0.43709358407021726,0.050471849274135686,-1.5587125981581131,0.09922012019291379,0.005693062287837175
MSFT,2026-08-17,end,2026-08-20,put,1,482.5,3.6,3.3,3.75,4953.0,1114.0,0.3009103112792969,-0.5649673005985012,0.05194320617772893,-1.4636051900767426,0.0991365788450275,-0.007549487220065392
